id,task,app,namespace,faulty_service,fault_type,fault_description,workload,expected_solution,system_level,fault_category,deployment
assign_to_non_existent_node_social_net-localization-1,localization,Social Network,social-network,compose-post-service,assign_non_existent_node,Pod assigned to non-existent node,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"[""compose-post-service""]",Virtualization,Misconfiguration,k8s
assign_to_non_existent_node_social_net-analysis-1,analysis,Social Network,social-network,compose-post-service,assign_non_existent_node,Pod assigned to non-existent node,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Misconfiguration""}",Virtualization,Misconfiguration,k8s
assign_to_non_existent_node_social_net-mitigation-1,mitigation,Social Network,social-network,compose-post-service,assign_non_existent_node,Pod assigned to non-existent node,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"Remove invalid node selector, all pods Running",Virtualization,Misconfiguration,k8s
container_kill-detection,detection,Hotel Reservation,hotel-reserv,user,container_kill,Container killed via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Virtualization,Operation Error,k8s
container_kill-localization,localization,Hotel Reservation,hotel-reserv,user,container_kill,Container killed via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""user""]",Virtualization,Operation Error,k8s
pod_failure_hotel_res-detection-1,detection,Hotel Reservation,hotel-reserv,user,pod_failure,Pod failure injected via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Virtualization,Operation Error,k8s
pod_failure_hotel_res-localization-1,localization,Hotel Reservation,hotel-reserv,user,pod_failure,Pod failure injected via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""user""]",Virtualization,Operation Error,k8s
pod_kill_hotel_res-detection-1,detection,Hotel Reservation,hotel-reserv,user,pod_kill,Pod killed via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Virtualization,Operation Error,k8s
pod_kill_hotel_res-localization-1,localization,Hotel Reservation,hotel-reserv,user,pod_kill,Pod killed via Chaos Mesh,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""user""]",Virtualization,Operation Error,k8s
network_loss_hotel_res-detection-1,detection,Hotel Reservation,hotel-reserv,user,network_loss,Network packet loss injected,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Operating System,Network/Storage Issue,k8s
network_loss_hotel_res-localization-1,localization,Hotel Reservation,hotel-reserv,user,network_loss,Network packet loss injected,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""user""]",Operating System,Network/Storage Issue,k8s
network_delay_hotel_res-detection-1,detection,Hotel Reservation,hotel-reserv,user,network_delay,Network delay/latency injected,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Operating System,Network/Storage Issue,k8s
network_delay_hotel_res-localization-1,localization,Hotel Reservation,hotel-reserv,user,network_delay,Network delay/latency injected,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""user""]",Operating System,Network/Storage Issue,k8s
noop_detection_hotel_reservation-1,detection,Hotel Reservation,hotel-reserv,N/A,noop,No fault injected (baseline test),hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,No,N/A,N/A,k8s
noop_detection_social_network-1,detection,Social Network,social-network,N/A,noop,No fault injected (baseline test),socialNetwork/wrk2/scripts/social-network/compose-post.lua,No,N/A,N/A,k8s
noop_detection_astronomy_shop-1,detection,Astronomy Shop,astronomy-shop,N/A,noop,No fault injected (baseline test),N/A,No,N/A,N/A,k8s
astronomy_shop_ad_service_failure-detection-1,detection,Astronomy Shop,astronomy-shop,ad-service,feature_flag_failure,Ad service failure via feature flag,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_ad_service_failure-localization-1,localization,Astronomy Shop,astronomy-shop,ad-service,feature_flag_failure,Ad service failure via feature flag,OpenTelemetry Demo workload,"[""ad-service""]",Application,Code Defect,k8s
astronomy_shop_ad_service_high_cpu-detection-1,detection,Astronomy Shop,astronomy-shop,ad-service,high_cpu,Ad service high CPU usage via feature flag,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_ad_service_high_cpu-localization-1,localization,Astronomy Shop,astronomy-shop,ad-service,high_cpu,Ad service high CPU usage via feature flag,OpenTelemetry Demo workload,"[""ad-service""]",Application,Code Defect,k8s
astronomy_shop_ad_service_manual_gc-detection-1,detection,Astronomy Shop,astronomy-shop,ad-service,manual_gc,Ad service manual garbage collection issue,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_ad_service_manual_gc-localization-1,localization,Astronomy Shop,astronomy-shop,ad-service,manual_gc,Ad service manual garbage collection issue,OpenTelemetry Demo workload,"[""ad-service""]",Application,Code Defect,k8s
astronomy_shop_cart_service_failure-detection-1,detection,Astronomy Shop,astronomy-shop,cart-service,service_failure,Cart service failure via feature flag,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_cart_service_failure-localization-1,localization,Astronomy Shop,astronomy-shop,cart-service,service_failure,Cart service failure via feature flag,OpenTelemetry Demo workload,"[""cart-service""]",Application,Code Defect,k8s
astronomy_shop_image_slow_load-detection-1,detection,Astronomy Shop,astronomy-shop,image-provider,slow_load,Image provider slow loading,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_image_slow_load-localization-1,localization,Astronomy Shop,astronomy-shop,image-provider,slow_load,Image provider slow loading,OpenTelemetry Demo workload,"[""image-provider""]",Application,Code Defect,k8s
astronomy_shop_kafka_queue_problems-detection-1,detection,Astronomy Shop,astronomy-shop,kafka,queue_problems,Kafka queue processing issues,OpenTelemetry Demo workload,Yes,Application,Dependency Problem,k8s
astronomy_shop_kafka_queue_problems-localization-1,localization,Astronomy Shop,astronomy-shop,kafka,queue_problems,Kafka queue processing issues,OpenTelemetry Demo workload,"[""kafka""]",Application,Dependency Problem,k8s
astronomy_shop_kafka_queue_problems-mitigation-1,mitigation,Astronomy Shop,astronomy-shop,kafka,queue_problems,Kafka queue processing issues,OpenTelemetry Demo workload,"Fix Kafka queue, all pods Running",Application,Dependency Problem,k8s
astronomy_shop_loadgenerator_flood_homepage-detection-1,detection,Astronomy Shop,astronomy-shop,loadgenerator,flood_homepage,Load generator flooding homepage,OpenTelemetry Demo workload,Yes,Application,Operation Error,k8s
astronomy_shop_loadgenerator_flood_homepage-localization-1,localization,Astronomy Shop,astronomy-shop,loadgenerator,flood_homepage,Load generator flooding homepage,OpenTelemetry Demo workload,"[""loadgenerator""]",Application,Operation Error,k8s
astronomy_shop_payment_service_failure-detection-1,detection,Astronomy Shop,astronomy-shop,payment-service,service_failure,Payment service failure via feature flag,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_payment_service_failure-localization-1,localization,Astronomy Shop,astronomy-shop,payment-service,service_failure,Payment service failure via feature flag,OpenTelemetry Demo workload,"[""payment-service""]",Application,Code Defect,k8s
astronomy_shop_payment_service_unreachable-detection-1,detection,Astronomy Shop,astronomy-shop,payment-service,unreachable,Payment service unreachable,OpenTelemetry Demo workload,Yes,Application,Network/Storage Issue,k8s
astronomy_shop_payment_service_unreachable-localization-1,localization,Astronomy Shop,astronomy-shop,payment-service,unreachable,Payment service unreachable,OpenTelemetry Demo workload,"[""payment-service""]",Application,Network/Storage Issue,k8s
astronomy_shop_product_catalog_service_failure-detection-1,detection,Astronomy Shop,astronomy-shop,product-catalog-service,service_failure,Product catalog service failure,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_product_catalog_service_failure-localization-1,localization,Astronomy Shop,astronomy-shop,product-catalog-service,service_failure,Product catalog service failure,OpenTelemetry Demo workload,"[""product-catalog-service""]",Application,Code Defect,k8s
astronomy_shop_recommendation_service_cache_failure-detection-1,detection,Astronomy Shop,astronomy-shop,recommendation-service,cache_failure,Recommendation service cache failure,OpenTelemetry Demo workload,Yes,Application,Code Defect,k8s
astronomy_shop_recommendation_service_cache_failure-localization-1,localization,Astronomy Shop,astronomy-shop,recommendation-service,cache_failure,Recommendation service cache failure,OpenTelemetry Demo workload,"[""recommendation-service""]",Application,Code Defect,k8s
redeploy_without_PV-detection-1,detection,Hotel Reservation,hotel-reserv,mongodb,redeploy_without_pv,Namespace redeployed without deleting PersistentVolume,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Virtualization,Operation Error,k8s
redeploy_without_PV-analysis-1,analysis,Hotel Reservation,hotel-reserv,mongodb,redeploy_without_pv,Namespace redeployed without deleting PersistentVolume,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Operation Error""}",Virtualization,Operation Error,k8s
redeploy_without_PV-mitigation-1,mitigation,Hotel Reservation,hotel-reserv,mongodb,redeploy_without_pv,Namespace redeployed without deleting PersistentVolume,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Delete old PV and recreate, all pods Running",Virtualization,Operation Error,k8s
wrong_bin_usage-detection-1,detection,General,default,app,wrong_bin_usage,Wrong binary being used in container,N/A,Yes,Application,Misconfiguration,k8s
wrong_bin_usage-localization-1,localization,General,default,app,wrong_bin_usage,Wrong binary being used in container,N/A,"[""app""]",Application,Misconfiguration,k8s
wrong_bin_usage-analysis-1,analysis,General,default,app,wrong_bin_usage,Wrong binary being used in container,N/A,"{""system_level"": ""Application"", ""fault_type"": ""Misconfiguration""}",Application,Misconfiguration,k8s
wrong_bin_usage-mitigation-1,mitigation,General,default,app,wrong_bin_usage,Wrong binary being used in container,N/A,"Fix binary path, all pods Running",Application,Misconfiguration,k8s
flower_node_stop-detection,detection,Flower (FL),docker,node,node_stop,Federated learning node stopped,Flower FL workload,Yes,Application,Operation Error,docker
flower_model_misconfig-detection,detection,Flower (FL),docker,model,model_misconfig,Federated learning model misconfiguration,Flower FL workload,Yes,Application,Misconfiguration,docker
